price,year_model,mileage,fuel_type,mark,model,fiscal_power,city
48600.0,2012.0,77499.5,Diesel,BMW,X1,8.0, Marrakech
19170.0,2015.0,124999.5,Diesel,Daci,Logan,7.0, Tanger
13770.0,2007.0,7499.5,Ess,Renault,Cli,, Marrakech
23220.0,2014.0,82499.5,Diesel,Daci,Dokker,6.0, Marrakech
33750.0,2010.0,154999.5,Ess,Hond,CR-V,8.0, Salé
16200.000000000002,2007.0,12499.5,Diesel,Daci,Logan,, Rabat
20250.0,2012.0,124999.5,Ess,Ford,Fiesta,6.0, Marrakech
61830.00000000001,2011.0,164999.5,Diesel,cedes-Benz,220,9.0, Fès
33750.0,2012.0,114999.5,Diesel,Hyundai,i 30,6.0, Rabat
29700.000000000004,2011.0,52499.5,Diesel,Hyundai,i 30,, Salé
28620.000000000004,2017.0,42499.5,Diesel,Peugeot,301,6.0, Rabat
29700.000000000004,2014.0,77499.5,Diesel,Volkswagen,P,, Casablanca
14310.000000000002,2009.0,144999.5,Ess,Ki,Picant,6.0, El Jadida
36450.0,2005.0,224999.5,Diesel,cedes-Benz,Classe C,, Nador
5670.0,1990.0,22499.5,Diesel,Ford,BEDFORD,7.0, Tanger
33480.0,2006.0,194999.5,Diesel,Land Rov,Range Rover,11.0, Rabat
29700.000000000004,2017.0,67499.5,Diesel,Daci,Dokker,, Casablanca
18360.0,2015.0,72499.5,Ess,Fiat,Panda,7.0, Casablanca
10530.0,1999.0,7499.5,Diesel,Renault,19,7.0, Agadir
16470.0,2006.0,144999.5,Diesel,Renault,Kang,6.0, Agadir
14040.000000000002,2000.0,2499.5,Diesel,Renault,gan,, Meknès
12960.0,2006.0,224999.5,Ess,zd,6,, Fès
9990.0,2003.0,144999.5,Ess,Fiat,Pali,, Casablanca
34560.0,2010.0,184999.5,Diesel,Volkswagen,GOLF 6,8.0, Casablanca
17550.0,2001.0,144999.5,Diesel,Volkswagen,GOLF 4,8.0, Nador
33750.0,2016.0,42499.5,Diesel,Hyundai,Accent,6.0, Casablanca
8910.0,1984.0,7499.5,Diesel,Renault,R11,7.0, Sidi Slimane
37530.0,2015.0,164999.5,Diesel,Volkswagen,GOLF 6,, Meknès
25650.0,2011.0,104999.5,Diesel,Daci,Duster,6.0, Casablanca
8370.0,1994.0,374999.5,Ess,Renault,R19,8.0, Taza
180900.0,2004.0,224999.5,Diesel,Hyundai,Tucson,8.0, Salé
19440.0,2007.0,154999.5,Diesel,Renault,Kang,, Casablanca
19710.0,2000.0,184999.5,Diesel,cedes-Benz,Classe A,7.0, Meknès
15390.000000000002,2011.0,82499.5,Ess,Fiat,Panda,, Tanger
29160.000000000004,2017.0,57499.5,Diesel,Ford,Fiesta,6.0, Casablanca
64800.00000000001,2013.0,164999.5,Diesel,Volkswagen,Touareg,, Kénitra
29160.000000000004,2010.0,144999.5,Ess,Volkswagen,GOLF 6,9.0, Tanger
13500.0,2005.0,22499.5,Ess,Citroen,C3 Picass,, Oujda
16200.000000000002,2005.0,194999.5,Diesel,Citroen,C3,, Fès
12150.0,2005.0,62499.5,Ess,Volkswagen,GOLF PLUS,6.0, Casablanca
18360.0,2012.0,87499.5,Diesel,Volkswagen,GOLF 6,8.0, Rabat
31050.000000000004,2008.0,154999.5,Diesel,Volkswagen,Passat,8.0, Béni Mellal
44550.0,2014.0,114999.5,Diesel,itsubishi,pajero sport,10.0, Marrakech
13500.0,1995.0,104999.5,Diesel,Renault,R19,7.0, Sidi Kacem
